dataset_name,source_id,headline,body_text,label,domain,license
FakeCovid-Kaggle,FC1,The coronavirus is an amplified bacteria related to 5g.,"Detector a video falso que dice que el Covid es una ""bacteria amplificada"" relacionada con 5G | La Silla Vacía",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC2,A law allows people to go for a run during the state of alarm in Spain.,La broma de que a los “runners” se les permite salir a correr por decreto ley se vuelve viral | Newtral,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC3,Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.,Are Chinese people converting to Islam in fear of Coronavirus? - FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC4,Bat market and bat meat are being sold in Wuhan.,"La soupe à la chauve-souris, un plat prisé en Chine ? Autopsie de la rumeur sur l'origine du coronavirus",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC5,"You can self-diagnose COVID-19 by holding your breath for 10 seconds, and avoid COVID-19 by drinking water constantly. COVID-19 causes fibrosis in the lungs.",#Verificamos: É falso que quem consegue prender a respiração por mais de 10 segundos não está infectado pelo novo coronavírus | Agência Lupa,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC6,BIll Gates contributed to the spread of coronavirus.,Bill Gates nije razvio novi koronavirus - Faktograf.hr,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC7,Captions on a reuploaded video about the U.S. approving Remdesivir for emergency use say the drug will “end COVID-19.”,VERA FILES FACT CHECK: Remdesivir to ‘end’ COVID-19 pandemic MISLEADING - Vera Files,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC8,COVID-19 is destroyed with the “hair dryer” technique.,Falso que COVID-19 se destruya con “técnica” de secadora de pelo,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC9,Ghana has 307 ambulances with mobile ventilators.,Fact-check: Does Ghana have 307 ambulances with mobile ventilators? - Ghana Fact,real,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC10,"“Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.”","PolitiFact | No, Kentucky teachers won’t be conducting student bedroom inspections",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC11,Photo shows food being distributed to Rwandans during coronavirus lockdown.,"Food distribution during Rwanda’s coronavirus lockdown? No, photo from Ramadan in the Gambia | Africa Check",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC12,Putin sent lions into the streets to discourage people from going out.,Putin'in Rusya'da insanların evden çıkmaması için sokağa aslan saldığı iddiası - teyit.org,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC13,A post says that the USA arrested the man who “sold” the new coronavirus to China.,Fact Check. Os EUA prenderam homem que terá “vendido” o novo coronavírus à China? – Observador,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC14,"A teacher died in Eastern France after she had to take care of health workers’ children, who contaminated her with COVID-19.","Non, une enseignante de 42 ans n'est pas morte du Covid-19 après avoir gardé des enfants de soignants - Libération",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC15,"Putting an eucalyptus leaf between two face masks and then wearing them will not only protect you from COVID-19, but will also relax and strengthen your bronchi.",Otro consejo falso: poner eucalipto en el tapabocas no fortalece tus bronquios,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC16,"Amid the coronavirus pandemic, Health Minister of India is playing Ludo.",फैक्ट चेक: डॉ हर्षवर्धन को लूडो खेलते दिखाती ये तस्वीर है एक साल पुरानी - Fact check union minister harshvardhan playing ludo old photo viral in corona situation - AajTak,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC17,Indian boy predicted the coronavirus in 2019.,"No, niño indio no predijo el coronavirus en 2019 | ColombiaCheck",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC18,The Peruvian Ministry of Health and the WHO advised to use ginger to combat the new coronavirus.,El Ministerio de Salud de Perú y la OMS no aconsejaron jengibre para combatir el nuevo coronavirus | AFP Factual,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC19,Lactoferrin cures or prevents coronavirus.,¿Qué sabemos de la lactoferrina para curar o prevenir el coronavirus? Por el momento no hay evidencias científicas que lo apoyen* - Maldita.es,real,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC20,Mexicans can call the Mexican government to get a COVID-19 test at home.,Falso que personal de Salud realice pruebas de Covid-19 a domicilio,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC21,Tencent revealed the real number of deaths.,L'entreprise chinoise Tencent a-t-elle «révélé» par accident les «vrais» chiffres du coronavirus ? - Libération,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC22,Chewing raw onions can cure coronavirus.,FALSE: Chewing raw onions can cure coronavirus - Ghana Fact,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC23,"The Tunisian national team player, Youssef El-Masakeni, did not comply with the quarantine imposed in his country.",Misbar - مسبار,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC24,Ads are selling masks protecting against COVID-19.,‘Coronavirus protection’ masks hawked in misleading video ad on Facebook | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC26,Nostradamus predicted the coronavirus pandemic.,Es falso que Nostradamus predijo el coronavirus  - Chequeado,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC27,"Komal Mishra, a staff nurse at a hospital in Pune, India died while due to coronavirus.",Viral Posts about the Death of Nurse Komal Mishra from Yavatmal are FAKE - FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC28,Voice message of a so-called ombudsman that says that internet may collapse in Argentina.,"No, la Defensoría del Pueblo de la Ciudad no advirtió sobre un colapso del sistema de internet nacional - Chequeado",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC29,"A picture shows the Ibirapuera Gymnasium temporary hospital, in São Paulo, empty.","#Verificamos: Foto de leitos desocupados não foi tirada em hospital de campanha do Ibirapuera, em SP | Agência Lupa",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC30,“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,"PolitiFact | No, the media did not “pretend there was a deadly surge in COVID cases” after Wisconsin election",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC31,"China seeks court’s approval to kill 20,000 coronavirus patients.",Fact Check: Post claiming China seeks court's approval to kill 20000 coronavirus patients is fake - Vishvas News,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC32,The new hantavirus is a deadly problem emerging in China. There is no cure for it.,"VoxCheck - Обережно, новий хантавірус — фейк, на якому... | Facebook",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC33,A “Chinese spy team” working in a Canadian government lab sent “pathogens to the Wuhan facility” prior to the coronavirus outbreak.,Coronavirus Wasn't Sent by 'Spy' From Canada - FactCheck.org,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC34,"The government and Bill Gates have overshadowed the social profiles of De Donno, the doctor who experiments with plasma treatment in the Mantua hospital. Matteo Salvini: “Whoever touches Bill Gates’ business disappears”.",Coronavirus. I poteri forti e Facebook hanno oscurato i profili di De Donno? No e non c'è la mano di Bill Gates - Open,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC36,Syrians Are Gathering Regardless of coronavirus Outbreak.,,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC37,Houseflies can transmit the COVID-19 virus.,"‘COVID-19 is not transmitted through houseflies’, says WHO - FACTLY",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC38,"Indian Government has started a scheme called the Rashtriya Sikhshit Berojgar Yojna, to help those who are educated and unemployed during the lockdown.","Rashtriya Sikhshit Berozgaar Yojna: A Phishing Scam, Not A Govt Scheme",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC39,"Governmental economic measures will allow “unemployed people to earn 100% of their wage, workers 70% and craftsmen 0%”",Ce visuel portant sur de nouvelles indemnités de salaire à cause du nouveau coronavirus est erroné | Factuel,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC40,Video shows EU flag was lowered in France to protest outbreak policies.,Video Fransa’da salgından dolayı AB’ye tepki olarak bayrak indirildiğini göstermiyor - teyit.org,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC41,"Seeing the rise of novel coronavirus in India, the WHO has recommended the government of India lockdown the country from 4/15/20 to 6/15/20.",,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC42,A claim that Sri Lankan students were flown home by Pakistan after they were stranded during the county’s COVID-19 lockdown has been shared on Facebook and WhatsApp.,False claim circulates that Pakistani plane transported Sri Lankan students home after COVID-19 lockdown | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC43,A Muslim man was beaten up because he was infecting fruits with his saliva.,Fact Check on Spit in Fruits in Delhi Bawana During COVID-19 Lockdown: Delhi’s Bawana Man Falsely Claimed to Have Injected Spit in Fruits,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC44,The Congress of Deputies -the Spanish lower house- has deleted the income of the MP’s from its website so that no one can see what they are earning in times of alarm and crisis for the coronavirus.,El Congreso no ha borrado de su web los ingresos de los diputados | EFE Verifica | Agencia EFE,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC45,"A video (allegedly) of the Hospital das Clínicas, São Paulo. It shows an empty waiting room. The person filming says that the government is lying when it says there are COVID-19 patients in the hospital.",#Verificamos: É falso que o Hospital das Clínicas de São Paulo não tem pacientes com Covid-19 | Agência Lupa,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC46,A video purporting that an attack on doctors was avenged by policemen.,Video From Mumbai Peddled As Police Retaliation For Attack On Indore Medics,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC47,"Garlic, onions and other traditional medicine recipes are treatments against the new coronavirus.",,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC48,Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,"PolitiFact | Yes, Gov. Newsom has the authority to make masks mandatory In California, legal experts say",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC49,Image of a couple claimed as activists Peter DeMello and Siraj Bilsara shared in connection with Palghar lynching.,पालघर प्रकरणात TISS च्या दोन प्राध्यापकांचा फोटो असत्य माहितीसह व्हायरल; वाचा सत्य | FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC50,WHO has guidelines that encourage child masturbation.,É falso que políticas educacionais da OMS incentivam a masturbação infantil | Aos Fatos,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC51,"A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.",This video shows donations for victims of a deadly earthquake that hit eastern Turkey in January 2020 | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC52,An email from Caixabank asking people to change data related to their account.,Cuidado con el supuesto correo de CaixaBank que pide la verificación de la cuenta por los cambios en el protocolo debido al estado de alarma por el coronavirus: es 'phishing' - Maldita.es,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC53,"An alleged statement from the Mexican Ministry of Health informs that people who are seen outside their home without a work or personal objective regarding the use of a basic need, will be asked for an official identification and will wear a yellow bracelet.",Falso: Pondrán pulsera amarilla a personas fuera de casa durante cuarentena,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC54,A post shared on Facebook and WhatsApp claims that China has sent COVID-19 vaccines to Burundi.,The Chinese donation consisted of general medical supplies to help fight COVID-19 | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC55,Indian Singer Kanika Kapoor was treated in Mumbai Wockhardt Hospital for COVID-19; the hospital was shut down as staff got infected.,கனிகா கபூர் மும்பை வொக்கார்ட் ஹாஸ்பிடலில் சிகிச்சை பெற்றாரா? | FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC56,"In order to take money from PM National Relief Fund (PMNRF), Congress President’s permission is required, that is why PM CARES is created.",PMNRF నుండి డబ్బులు ఇవ్వాలంటే కాంగ్రెస్ అనుమతి అవసరం లేదు. ఆ నిబంధనని 1985 లోనే తీసేసారు - FACTLY,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC57,China released a movie called “Coronavirus” in 2013.,É falso que filme chamado ‘Coronavírus’ foi lançado na China em 2013 | Aos Fatos,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC58,There was a riot in a grocery store due to COVID-19.,"Non, cette vidéo ne montre pas une émeute causée par la COVID-19 | Coronavirus | Radio-Canada.ca",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC59,"Death toll in Wuhan due to coronavirus reaches 10,000 people",,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC60,Videos showing black people being attacked by Asian people have been shared thousands of times online in recent weeks. Although Africans living in China have reported discrimination linked to the coronavirus pandemic,Viral videos of Africans attacked in China were filmed years ago | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC61,Footballer Ronaldo is turning his hotels into COVID-19 hospitals.,"No, footballer Ronaldo isn’t turning his hotels into Covid-19 hospitals | Africa Check",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC62,Doctors recommend vitamin C and fennel seed tea to help avoid the novel coronavirus.,Médicos não indicaram vitamina C e chá de erva-doce contra coronavírus | Aos Fatos,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC63,Muslims are licking their plates to spread coronavirus and infect more people with the virus.,False: Video Shows Muslims Licking Utensils To Spread Coronavirus,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC64,"In Kenya, Safaricom gives subscribers Sh2,500 COVID-19 relief.","FALSE: Safaricom is not giving Ksh2,500 COVID-19 cash relief to subscribers",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC65,Coronavirus infections are linked to a lack of Vitamin D.,"¿Qué sabemos sobre el audio que dice, en relación a las infecciones por coronavirus, que ""todo se debe a la vitamina D""? - Maldita.es",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC66,WHO warned against consuming cabbage to prevent COVID-19.,"Fact Check: No, WHO didn't warn against consuming cabbage to prevent COVID-19 - Vishvas News",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC67,Goodwill laid off all employees due to COVID-19.,Fact Check: Goodwill Did NOT Use COVID-19 As An Excuse To Fire All Employees | Lead Stories,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC68,A headline alleges that the first pregnant woman with coronavirus gave birth in Macedonia.,Нема породена бремена жена со коронавирус во Македонија – Truthmeter,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC69,Pizza Hut has announced that they will give two FREE large pizzas to each family in Mexico.,Ni Burger King ni Pizza Hut regalan comida por Covid-19,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC70,"According to the “Plandemic” documentary, “the actual pandemic comes from the SARS outbreak”.",Página no encontrada - El Surtidor,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC71,There are 100 children infected with COVID-19 in the main hospital in Lima.,Es falso que haya cien menores afectados por coronavirus en el Hospital del Niño | Ojo Público,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC72,Video showing how Italy started a conference reciting the Holy Quran.,Misbar - مسبار,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC73,Netflix gives away free accounts during coronavirus quarantine.,Netflix no regala cuentas gratis durante la cuarentena del coronavirus | Newtral,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC74,Don’t wear clothes with fur collar or fleece material. It is easy to be contaminated by the “Wuhan Virus”.,【錯誤】網傳「帶毛領或是絨線的衣服外套，較容易吸附病毒」？ | 台灣事實查核中心,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC75,Coronavirus will be exterminated if lockdowns are lifted.,Disagreement Over Whether Coronavirus Will Simply Be 'Exterminated' If Lockdowns Are Lifted | Lead Stories,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC76,The Government of Mexico asks to deposit $ 300 pesos to activate the support card for COVID-19.,Circulan tarjetas apócrifas de la Secretaría del Bienestar - Verificado,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC77,"Images showing vaccines for coronavirus have already been discovered, were patented and will be readily available.","No, These Photos And Video Do Not Show A Vaccine Against Coronavirus",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC78,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.","PolitiFact | No, Kennedy Center and PBS didn’t pay COVID-19 kickbacks",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC80,Video of a train carrying the trucks with essential goods during the current lockdown in India. It’s a “brilliant idea” by Modi’s government.,"ఏడేళ్ల ముందు వీడియోని పెట్టి, తాజాగా ట్రైన్స్ మీద లారీలను ఎక్కించి ప్రధాని మోదీ తెలివిగా పంపిస్తున్నట్టు షేర్ చేస్తున్నారు - FACTLY",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC81,Video of black bucks crossing a road in Kaziranga national park amid COVID-19 lockdown.,এইটো লক ডাউনৰ সময়ত কাজিৰঙাত ৰেকৰ্ড কৰা ভিডিঅ' নহয়! - Factcrescendo Assamese,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC82,Lemon and bicarbonate kill the virus.,El limón y el bicarbonato no matan el coronavirus | Newtral,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC83,Stores and supermarkets in Veracruz (Mexico) will close due to the new coronavirus. The local government has asked people to buy supplies.,Es falso el mensaje de que comercios de Veracruz cerrarán por COVID-19,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC84,The U.S. Occupational Safety and Health Administration (OSHA) says masks don’t work and violate OSHA oxygen levels.,"OSHA recommends using cloth face coverings at the workplace, contrary to claim by Peggy Hall - Health Feedback",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC85,The military is coming to Paris because of the coronavirus.,Des blindés sont-ils en route vers Paris pour faire face au Covid-19 ? - Libération,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC86,"During the protest in the Salamanca district in Madrid, people sang ‘Bella ciao’.","En la manifestación del barrio de Salamanca no está sonando ‘Bella Ciao’, el audio está trucado | Newtral",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC88,"A video has been viewed tens of thousands of times in multiple Facebook, YouTube and Twitter posts alongside a claim it shows the Islamic call to prayer being heard in Spain during the COVID-19 epidemic for the first time in 500 years.",This video was filmed in Azerbaijan in November 2019 | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC89,A purported emergency notice from Australian authorities has been shared hundreds of times in multiple posts on Facebook and Twitter. It states people can receive free home visits from doctors during the novel coronavirus pandemic.,Australian health authorities refute hoax about 'free home checks' for suspected COVID-19 cases | AFP Fact Check,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC90,A police officer in Bihar’s Hajipur (India) station contracted coronavirus.,Mock Drill Video From Bihar On COVID-19 Preparedness Shared As Real | বিহারে কোভিড-১৯ বিপর্যয় প্রস্তুতির মহড়া ভিডিওকে বাস্তব সংক্রমণ বলা হল,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC91,Bitter gourd juice can cure coronavirus.,करेले का जूस पीने से कोरोनावायरस का संक्रमण ठीक नही होता है | – FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC92,A former and controversial CIA officer said coronavirus was made in a lab.,Fact Check: Former CIA Officer Selectively Quoted By Iranian Site; Did NOT Say Coronavirus Was Produced In a Lab | Lead Stories,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC94,Availability of a kit for coronavirus self-diagnosis.,"Mascherine e disinfettanti coronavirus, Facebook e Amazon bloccano le vendite online",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC95,"The text conveys the Twitter status of Natasha Apostolska from Tetovo (whose father died of corona), in which she claims that during the 28-day self-isolation she did not see a doctor at all, nor was she prescribed any therapy.",Прикажана само едната страна на приказната | КриТинк,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC97,"A coronavirus positive patient found in Jamnagar, a city in the state of Gujarat.",જામનગરમાં નવા કોરોનાનો કોઈ પોઝિટીવ દર્દી નોંધાયા નથી. : ક્લેકટર રવિશંકર | FactCrescendo | The leading fact-checking website in India,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC98,Italians throwing money on streets amid COVID-19 crisis.,"No, these images are not of currency notes thrown on streets by Italians… - Factcrescendo Sri Lanka - English",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC99,"An image in which you see members of the Government, including President Pedro Sánchez, speaking in a ‘circle’ without respecting social distance.","No, esta imagen en la que miembros del Gobierno están hablando sin respetar la distancia social no es actual: es del pasado 30 de enero - Maldita.es",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC100,Biomagnetic resonance can help to treat COVID-19.,,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC101,Russia released 500 lions to ensure people would stay inside houses.,ரஷ்யாவில் மக்களை வீடுகளில் முடக்க 500 சிங்கங்கள்; உண்மை தெரியுமா? - Factcrescendo Sri Lanka - Tamil,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC102,Illuminati controlled U.S. government; coronavirus caused by 5G.,"Fact Check: There Is NO Evidence The Illuminati Controlled The U.S. Government, And Coronavirus Is NOT Caused By 5G | Lead Stories",fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC103,Cristiano Ronaldo donated his hotel to be turned into an hospital.,Ronaldo’nun otellerini yeni koronavirüs nedeniyle hastaneye çevirdiği iddiası - teyit.org,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC104,Coronavirus detection is possible by holding your breath for 10 seconds,Tempo.co,fake,Health,CC BY-SA 4.0
FakeCovid-Kaggle,FC105,Photos purport to show the collapse of a temporary hospital in Wuhan.,Ces images montrent l'effondrement d'un hôtel en Chine où des patients atteints du Covid-19 étaient en quarantaine | Factuel,fake,Health,CC BY-SA 4.0
