ID,body_text,label,country1,lang,headline
FC1,false: the coronavirus is an amplified bacteria related to 5g.,FALSE, Colombia,es,the coronavirus is an amplified bacteria related to 5g.
FC2,false: a law allows people to go for a run during the state of alarm in spain.,FALSE, Spain,es,a law allows people to go for a run during the state of alarm in spain.
FC3,false: chinese converting to islam after realizing that no muslim was affected by covd19 in the country.,False, India,en,chinese converting to islam after realizing that no muslim was affected by covd19 in the country.
FC4,false: bat market and bat meat are being sold in wuhan.,False, France,fr,bat market and bat meat are being sold in wuhan.
FC5,"false: you can self-diagnose covid-19 by holding your breath for 10 seconds, and avoid covid-19 by drinking water constantly. covid-19 causes fibrosis in the lungs.",False, Brazil,pt,"you can self-diagnose covid-19 by holding your breath for 10 seconds, and avoid covid-19 by drinking water constantly. covid-19 causes fibrosis in the lungs."
FC6,misleading: bill gates contributed to the spread of coronavirus.,Misleading, Croatia,hr,bill gates contributed to the spread of coronavirus.
FC7,misleading: captions on a reuploaded video about the u.s. approving remdesivir for emergency use say the drug will “end covid-19.”,MISLEADING, Philippines,en,captions on a reuploaded video about the u.s. approving remdesivir for emergency use say the drug will “end covid-19.”
FC8,false: covid-19 is destroyed with the “hair dryer” technique.,False, Mexico,es,covid-19 is destroyed with the “hair dryer” technique.
FC9,mostly true: ghana has 307 ambulances with mobile ventilators.,Mostly True, Ghana,en,ghana has 307 ambulances with mobile ventilators.
FC10,"false: “governor andy beshear has authorized kentucky teachers to make in-home visits. with parental approval, teachers will inspect the bedroom of each student currently enrolled in k-8.”",FALSE, United States,en,"“governor andy beshear has authorized kentucky teachers to make in-home visits. with parental approval, teachers will inspect the bedroom of each student currently enrolled in k-8.”"
FC11,false: photo shows food being distributed to rwandans during coronavirus lockdown.,False, Kenya,en,photo shows food being distributed to rwandans during coronavirus lockdown.
FC12,false: putin sent lions into the streets to discourage people from going out.,False, Turkey,tl,putin sent lions into the streets to discourage people from going out.
FC13,false: a post says that the usa arrested the man who “sold” the new coronavirus to china.,FALSE, Portugal,pt,a post says that the usa arrested the man who “sold” the new coronavirus to china.
FC14,"false: a teacher died in eastern france after she had to take care of health workers’ children, who contaminated her with covid-19.",FALSE, France,fr,"a teacher died in eastern france after she had to take care of health workers’ children, who contaminated her with covid-19."
FC15,"false: putting an eucalyptus leaf between two face masks and then wearing them will not only protect you from covid-19, but will also relax and strengthen your bronchi.",FALSE, Mexico,es,"putting an eucalyptus leaf between two face masks and then wearing them will not only protect you from covid-19, but will also relax and strengthen your bronchi."
FC16,"false: amid the coronavirus pandemic, health minister of india is playing ludo.",False, India,hi,"amid the coronavirus pandemic, health minister of india is playing ludo."
FC17,false: indian boy predicted the coronavirus in 2019.,FALSE, Colombia,es,indian boy predicted the coronavirus in 2019.
FC18,false: the peruvian ministry of health and the who advised to use ginger to combat the new coronavirus.,FALSE, France,es,the peruvian ministry of health and the who advised to use ginger to combat the new coronavirus.
FC19,no evidence: lactoferrin cures or prevents coronavirus.,No Evidence, Spain,es,lactoferrin cures or prevents coronavirus.
FC20,false: mexicans can call the mexican government to get a covid-19 test at home.,False, Mexico,es,mexicans can call the mexican government to get a covid-19 test at home.
FC21,misleading: tencent revealed the real number of deaths.,Misleading, France,fr,tencent revealed the real number of deaths.
FC22,false: chewing raw onions can cure coronavirus.,FALSE, Ghana,en,chewing raw onions can cure coronavirus.
FC23,"misleading: the tunisian national team player, youssef el-masakeni, did not comply with the quarantine imposed in his country.",Misleading, Tunisia,,"the tunisian national team player, youssef el-masakeni, did not comply with the quarantine imposed in his country."
FC24,misleading: ads are selling masks protecting against covid-19.,Misleading, United States,en,ads are selling masks protecting against covid-19.
FC25,"partly false: in a video, blogger ken jebsen claims bill gates took control over the health system to force his vaccines upon everyone. he funds 80 percent of the who. in germany people are arrested because they carry the constitution (grundgesetz). germany secretly wants to impose compulsory vaccines in a new law, and covid-19 is just a harmless flu",partly false, Germany,de,"in a video, blogger ken jebsen claims bill gates took control over the health system to force his vaccines upon everyone. he funds 80 percent of the who. in germany people are arrested because they carry the constitution (grundgesetz). germany secretly wants to impose compulsory vaccines in a new law, and covid-19 is just a harmless flu"
FC26,false: nostradamus predicted the coronavirus pandemic.,False, Argentina,es,nostradamus predicted the coronavirus pandemic.
FC27,"false: komal mishra, a staff nurse at a hospital in pune, india died while due to coronavirus.",FALSE, India,en,"komal mishra, a staff nurse at a hospital in pune, india died while due to coronavirus."
